,id,m1,m2,size,x0.25,x0.2,x0.15
0,1,0.8416666666666667,145.07419659296673,"(1040, 585)",0.1624917984008789,0.09728097915649414,0.05842733383178711
1,2,0.38461538461538464,224.67277057354266,"(1040, 585)",0.14324212074279785,0.09935903549194336,0.05768704414367676
2,3,0.7440476190476191,170.59530478432066,"(1040, 585)",0.14443016052246094,0.0934140682220459,0.052880048751831055
3,4,0.8333333333333334,122.96339977355231,"(1040, 585)",0.14917707443237305,0.1008138656616211,0.05961966514587402
4,5,0.8181818181818182,136.69089113976344,"(1040, 585)",0.14484381675720215,0.09644389152526855,0.052388906478881836
5,6,0.7416666666666667,154.5160295645396,"(1040, 585)",0.14359402656555176,0.09527230262756348,0.06027412414550781
6,7,0.2631578947368421,211.1419862446032,"(1040, 585)",0.1691279411315918,0.10831785202026367,0.06644701957702637
7,8,0.524390243902439,210.1540070510492,"(1040, 585)",0.13906097412109375,0.09372591972351074,0.06666111946105957
8,9,0.7835497835497836,149.3320909805628,"(1040, 585)",0.1548609733581543,0.1051781177520752,0.06977105140686035
9,10,0.7664670658682635,176.3507110687073,"(1040, 585)",0.14016389846801758,0.09348297119140625,0.05449318885803223
10,11,0.7532467532467533,148.4766473316011,"(1040, 585)",0.14265894889831543,0.0958261489868164,0.05683088302612305
11,12,0.870722433460076,127.23058462686865,"(1040, 585)",0.1547393798828125,0.10911798477172852,0.06612086296081543
12,13,0.7790055248618785,160.21914386222375,"(1040, 585)",0.14155292510986328,0.0983731746673584,0.05291390419006348
13,14,0.8530805687203792,153.22472647355067,"(1040, 585)",0.14309096336364746,0.09931588172912598,0.05362701416015625
14,15,0.6190476190476191,189.08938168722486,"(1040, 585)",0.1415390968322754,0.09530758857727051,0.05565905570983887
15,16,0.8421052631578947,138.22754928650645,"(1040, 585)",0.14121699333190918,0.09380602836608887,0.05523800849914551
16,17,0.6353591160220995,180.4449744040136,"(1040, 585)",0.14151239395141602,0.09373807907104492,0.054643869400024414
17,18,0.8372881355932204,127.44744729510808,"(1040, 585)",0.15071511268615723,0.10003829002380371,0.06557321548461914
18,19,0.8333333333333334,164.06797552621492,"(1040, 585)",0.14359092712402344,0.09472107887268066,0.05751299858093262
19,20,0.7852760736196319,170.41057291791483,"(1040, 585)",0.14459514617919922,0.0921328067779541,0.05788874626159668
20,21,0.5641025641025641,215.31160560021033,"(1040, 585)",0.14392304420471191,0.09320878982543945,0.05456423759460449
21,22,0.7838827838827839,137.59430508735852,"(1040, 585)",0.15975689888000488,0.10987496376037598,0.07574701309204102
22,23,0.8854166666666666,158.30345980326334,"(1040, 585)",0.14394593238830566,0.09522414207458496,0.0586857795715332
23,24,0.25,170.30091762542725,"(1040, 585)",0.1659090518951416,0.10850191116333008,0.06518721580505371
24,25,0.41379310344827586,229.49131301353717,"(1040, 585)",0.19039630889892578,0.14778399467468262,0.11098909378051758
25,26,0.8345070422535211,134.9232975597113,"(1040, 585)",0.18098211288452148,0.12635302543640137,0.10068798065185547
26,27,0.7432432432432432,178.83387715107685,"(1040, 585)",0.1533677577972412,0.1155092716217041,0.06933474540710449
27,28,0.6820276497695853,161.1418233774774,"(1040, 585)",0.14590716361999512,0.10132098197937012,0.05668187141418457
28,29,0.868421052631579,120.00000694819859,"(1040, 585)",0.16002774238586426,0.10569596290588379,0.06068825721740723
29,30,0.7745454545454545,118.64420030073686,"(1040, 585)",0.14214777946472168,0.0938558578491211,0.05716729164123535
30,31,0.7401960784313726,173.71691281187768,"(1040, 585)",0.14226198196411133,0.0947110652923584,0.05977487564086914
31,32,0.7697841726618705,178.84215776182765,"(1040, 585)",0.18182706832885742,0.12717795372009277,0.0957188606262207
32,33,0.8440860215053764,176.36499175205026,"(1040, 585)",0.14927005767822266,0.09750103950500488,0.06514811515808105
33,34,0.6988636363636364,179.75655473362315,"(1040, 585)",0.14401507377624512,0.0946800708770752,0.05473923683166504
34,35,0.8264462809917356,124.63235281321629,"(1040, 585)",0.15826416015625,0.10814285278320312,0.06490278244018555
35,36,0.8464730290456431,149.10544301266492,"(1040, 585)",0.16596579551696777,0.10615396499633789,0.06955981254577637
36,37,0.8496932515337423,104.16172419003914,"(1040, 585)",0.15046095848083496,0.09534716606140137,0.06551194190979004
37,38,0.7577319587628866,160.61196848289254,"(1040, 585)",0.17650413513183594,0.1081840991973877,0.1102437973022461
38,39,0.3181818181818182,237.94819224964488,"(1040, 585)",0.1537001132965088,0.09676504135131836,0.07209491729736328
39,40,0.3888888888888889,190.33056704203287,"(1040, 585)",0.1691572666168213,0.11304211616516113,0.09958100318908691
40,41,0.8181818181818182,165.4989210730568,"(1040, 585)",0.15737295150756836,0.10719418525695801,0.08069014549255371
41,42,0.8185654008438819,126.3598787331883,"(1040, 585)",0.1611950397491455,0.10680794715881348,0.07615327835083008
42,43,0.7086614173228346,174.13059066412018,"(1040, 585)",0.1762399673461914,0.11757993698120117,0.08228087425231934
43,44,0.6527196652719666,158.3576348117206,"(1040, 585)",0.15694808959960938,0.09803509712219238,0.08117103576660156
44,45,0.8477508650519031,116.45770498625548,"(1040, 585)",0.17487001419067383,0.12355208396911621,0.09273815155029297
45,46,0.6153846153846154,275.1546701284555,"(480, 270)",0.06528091430664062,0.04295969009399414,0.036933183670043945
46,47,0.725609756097561,179.03399441881876,"(1040, 585)",0.13898587226867676,0.09291696548461914,0.09522318840026855
47,48,0.8341013824884793,137.77649314282678,"(1040, 585)",0.18805193901062012,0.13478398323059082,0.09411025047302246
48,49,0.7692307692307693,129.8412014049488,"(1040, 585)",0.15678977966308594,0.10755419731140137,0.07346487045288086
49,50,0.5135135135135135,225.3222083014411,"(1040, 585)",0.14667916297912598,0.09749293327331543,0.0616607666015625
