,id,m1,m2,size,x0.25,x0.2,x0.15
0,1,0.05672268907563025,177.55072583270675,"(1032, 774)",8.209658145904541,5.562053203582764,2.9210591316223145
1,2,0.07432432432432433,177.51881730878677,"(1024, 724)",8.6394681930542,5.999806880950928,3.3550262451171875
2,3,0.6678170836928387,150.1280972856813,"(1032, 774)",17.78148102760315,12.655608177185059,5.4759087562561035
3,4,0.5375375375375375,153.08190998894008,"(774, 1032)",10.09253191947937,6.911561012268066,3.8374478816986084
4,5,0.26485568760611206,190.82405684233117,"(1032, 774)",7.361128091812134,5.499804258346558,3.2586958408355713
5,6,0.4449715370018975,178.44406896659953,"(1032, 774)",8.422153234481812,6.6106719970703125,3.719907760620117
6,7,0.2953020134228188,177.67164461618034,"(1032, 774)",25.07415509223938,18.451388120651245,7.472562789916992
7,8,0.7651542649727767,138.67730568610605,"(1032, 774)",28.744764804840088,20.91749882698059,8.53871774673462
8,9,0.09926470588235294,189.19622644256143,"(1032, 774)",6.137549161911011,4.876285076141357,2.5818049907684326
9,10,0.48981670061099797,167.73237171289634,"(1032, 774)",11.76785397529602,7.593379259109497,3.9633500576019287
10,11,0.42197253433208487,191.5069652466887,"(1032, 774)",7.89585280418396,5.531660079956055,2.7509050369262695
11,12,0.263671875,185.25759445875883,"(1032, 774)",7.4548020362854,5.189582109451294,2.7975540161132812
12,13,0.32887402452619846,187.41139432977275,"(1032, 774)",8.638155698776245,5.847930192947388,3.073298931121826
13,14,0.05417607223476298,178.0198711455541,"(1032, 774)",9.904134750366211,6.866427183151245,3.4828531742095947
14,15,0.12552301255230125,171.14102570282367,"(1032, 774)",48.20367693901062,22.937048196792603,8.490064144134521
15,16,0.44329132690882134,162.64271469625214,"(1032, 774)",9.508095979690552,6.692008018493652,3.631671905517578
16,17,0.2452504317789292,165.18235903988642,"(1032, 774)",13.986217021942139,7.786120891571045,3.6194052696228027
17,18,0.05019305019305019,179.08963492846397,"(1032, 774)",7.122644901275635,5.032489061355591,2.8929290771484375
18,19,0.5402930402930403,165.54087420872278,"(1032, 774)",19.46583318710327,13.606993913650513,6.14084792137146
19,20,0.46645702306079667,176.99825082135152,"(1032, 774)",8.887608051300049,6.759562015533447,3.50290584564209
20,21,0.29441624365482233,173.7281918662857,"(1032, 774)",12.03337287902832,8.80270266532898,4.636101961135864
21,22,0.23018867924528302,214.37902532613504,"(1032, 774)",5.81387186050415,4.303330898284912,2.292433261871338
22,23,0.05509641873278237,167.8372325109056,"(1032, 774)",10.107518196105957,7.0219738483428955,3.6874749660491943
23,24,0.08571428571428572,183.5521342250279,"(1032, 774)",6.001526832580566,4.570919036865234,2.571614980697632
24,25,0.0783132530120482,184.50109667950366,"(1032, 774)",5.973217010498047,4.396219968795776,2.379315137863159
25,26,0.0744336569579288,172.45880912114114,"(1032, 774)",8.467479705810547,6.146452903747559,3.6116111278533936
26,27,0.10899182561307902,199.09338620053325,"(1032, 774)",6.378996849060059,4.633973836898804,2.446432113647461
27,28,0.061855670103092786,187.0421610075174,"(1032, 774)",5.853407621383667,4.102588176727295,2.3294830322265625
28,29,0.6772009029345373,162.82518384257503,"(1032, 774)",8.339871168136597,5.595530033111572,2.9356751441955566
29,30,0.24870466321243523,171.64094806335132,"(1032, 774)",15.572009325027466,8.240199089050293,4.099026918411255
30,31,0.09863013698630137,178.33240452596587,"(1032, 774)",6.308747053146362,4.437290191650391,2.3228888511657715
31,32,0.04381443298969072,192.0965556705121,"(1032, 774)",7.445844888687134,5.424764156341553,3.1184709072113037
32,33,0.11085450346420324,188.33690181670508,"(1032, 774)",7.458146095275879,5.414251089096069,2.825871229171753
33,34,0.10230179028132992,170.8076756177351,"(1032, 774)",6.006793022155762,4.331084966659546,2.493083953857422
34,35,0.5963938973647711,158.3700118309582,"(1032, 774)",14.883780002593994,9.14017939567566,4.6702492237091064
