,id,m1,m2,size,x0.25,x0.2,x0.15
0,1,0.910856134157105,145.46260680097382,"(1040, 585)",4.117539167404175,2.7599151134490967,1.6058602333068848
1,2,0.15555555555555556,168.83342885819692,"(1040, 585)",3.748677968978882,2.567250967025757,1.5762059688568115
2,3,0.8231404958677686,155.38922467612696,"(1040, 585)",4.155524730682373,2.740131139755249,1.5846970081329346
3,4,0.891581965076883,136.7336199191016,"(1040, 585)",5.410022735595703,3.652014970779419,2.0878541469573975
4,5,0.8693666260657734,138.55543396156395,"(1040, 585)",4.48456597328186,2.893260955810547,1.6569759845733643
5,6,0.7202072538860104,147.38708987966632,"(1040, 585)",4.448300123214722,3.0178229808807373,1.6552948951721191
6,7,0.0625,169.8510386603219,"(1040, 585)",5.883744955062866,3.756347894668579,2.060214042663574
7,8,0.5368782161234992,177.3872104010083,"(1040, 585)",3.9831278324127197,2.693187713623047,1.6099319458007812
8,9,0.7951378594722799,137.87045479895204,"(1040, 585)",5.6725547313690186,3.805042028427124,2.07808518409729
9,10,0.8526027397260274,169.12166572884337,"(1040, 585)",3.8863840103149414,2.625138759613037,1.5509898662567139
10,11,0.8560655737704918,145.38737339457526,"(1040, 585)",4.468507289886475,3.0873842239379883,1.7057149410247803
11,12,0.901294893720987,131.64960204981196,"(1040, 585)",5.704665660858154,3.9475152492523193,2.1336710453033447
12,13,0.8216489063376332,161.53247135780663,"(1040, 585)",4.025550127029419,2.806201219558716,1.584852933883667
13,14,0.8574504737295435,152.84541158980073,"(1040, 585)",4.404685020446777,3.013681173324585,1.6500988006591797
14,15,0.6247323340471093,157.10171108327535,"(1040, 585)",3.9695138931274414,2.6674649715423584,1.5704429149627686
15,16,0.8809523809523809,147.35738330843623,"(1040, 585)",4.310931205749512,2.9346261024475098,1.6432380676269531
16,17,0.7653601694915254,161.20126360957906,"(1040, 585)",3.964550733566284,2.68121600151062,1.5898528099060059
17,18,0.8800315706393055,135.35239835426512,"(1040, 585)",5.262791156768799,3.5545828342437744,2.0635271072387695
18,19,0.7802898550724637,159.74623147273408,"(1040, 585)",3.889738082885742,2.5981218814849854,1.531130313873291
19,20,0.7227662178702571,163.3193178071824,"(1040, 585)",4.007874250411987,2.70475697517395,1.5959086418151855
20,21,0.6450331125827815,181.85528346686962,"(1040, 585)",4.0576560497283936,2.655024766921997,1.5910241603851318
21,22,0.8616106333072713,134.4970491601677,"(1040, 585)",6.159142017364502,4.147728681564331,2.330997943878174
22,23,0.8280337443218689,166.6133446715081,"(1040, 585)",4.654324054718018,2.9827210903167725,1.7877209186553955
23,24,0.14285714285714285,156.41813098683076,"(1040, 585)",5.527511835098267,3.7891480922698975,2.2437591552734375
24,25,0.19230769230769232,171.87215634859524,"(1040, 585)",8.591066122055054,5.785760164260864,3.138564109802246
25,26,0.9058269570335491,141.5064476309558,"(1040, 585)",9.150144100189209,6.828253984451294,3.5433077812194824
26,27,0.7856287425149701,166.3377228422793,"(1040, 585)",5.891947031021118,4.674245119094849,2.800168037414551
27,28,0.7374449339207049,154.4762093396964,"(1040, 585)",4.987854957580566,3.6963489055633545,2.2255799770355225
28,29,0.8227109515260324,119.27745662771393,"(1040, 585)",6.10800576210022,4.270543813705444,2.2912631034851074
29,30,0.9238095238095239,123.1847757268835,"(1040, 585)",4.30014705657959,3.094058036804199,1.8377132415771484
30,31,0.7053020961775586,155.28418994939625,"(1040, 585)",4.202816963195801,3.235722064971924,1.8758909702301025
31,32,0.8610315186246418,167.17180239778534,"(1040, 585)",9.287988901138306,7.130798101425171,4.066469669342041
32,33,0.8708946772366931,165.2127280532301,"(1040, 585)",4.360660076141357,3.4106979370117188,1.8670310974121094
33,34,0.7578676942838792,171.91089428244453,"(1040, 585)",4.201054096221924,3.0094730854034424,1.7375597953796387
34,35,0.9061059907834101,126.77044757829833,"(1040, 585)",6.368535041809082,4.589197158813477,2.5605430603027344
35,36,0.8690839694656488,147.88534710716655,"(1040, 585)",5.778346061706543,4.491346836090088,2.4587671756744385
36,37,0.8839645447219984,105.30989900430684,"(1040, 585)",4.518034934997559,3.199821710586548,1.8071701526641846
37,38,0.7463543968183827,148.21779218564978,"(1040, 585)",6.4689249992370605,4.600507020950317,2.6912100315093994
38,39,0.0718232044198895,171.60985919256896,"(1040, 585)",4.520234107971191,3.1145689487457275,1.9092800617218018
39,40,0.13020833333333334,172.34561773141226,"(1040, 585)",7.836298942565918,5.899119853973389,3.5814766883850098
40,41,0.7151898734177216,153.01332673694515,"(1040, 585)",5.588343858718872,4.346750974655151,2.4607949256896973
41,42,0.9212792127921279,143.31953485777458,"(1040, 585)",5.729246139526367,4.2996180057525635,2.4106550216674805
42,43,0.8464249748237663,152.91447624098979,"(1040, 585)",6.53710412979126,5.016326904296875,2.7211179733276367
43,44,0.7432061829967589,135.52489543145387,"(1040, 585)",5.239042043685913,3.8378279209136963,2.02777099609375
44,45,0.8172311889065696,125.2194947045238,"(1040, 585)",7.697809219360352,5.71935510635376,2.7523140907287598
45,46,0.15702479338842976,191.73868535569878,"(480, 270)",3.0420308113098145,1.9727907180786133,0.9874041080474854
